Name,Category,Description,Link (Some are affiliate links),Operating System,Price,What Tiago uses
Apple Books,"Ebook apps,PDF readers",Buy and download books and personalize your reading experience. You can also save and edit pdfs. ,https://support.apple.com/en-ca/books,"iOS,macOS",Free,
Instapaper,Read-later apps,Save anything so you can read it on all your devices.,https://www.instapaper.com/,"iOS,Android,Browser Extension","Free,Paid Features",
Pocket,Read-later apps,"Save interesting stories and read them whenever. Includes curated recommendations for you. 
",https://getpocket.com/en/,"iOS,Windows,Android,macOS","Free,Paid Features",
Matter,Read-later apps,"Pulls everything you want to read into one place with powerful tools, social curation, seamless audio.
",https://hq.getmatter.app/,"iOS,Web App","Free,Paid Features",
Reader,Read-later apps,"Save everything to one place to overcome content overload, search instantly, and highlight like a pro.",https://readwise.io/tiago/,"iOS,Browser Extension,Android,Web App",Paid,checked
Meco,Read-later apps,"Move your newsletters to a space built for reading
and declutter your inbox in seconds.	",https://www.meco.app/get/20rf,"iOS,Web App",Free Trial,
Things,Task management apps,Award-winning personal task manager that helps you achieve your goals.,https://culturedcode.com/things/,"iOS,macOS","Free Trial,Paid",checked
Todoist,Task management apps,The world’s #1 task manager and to-do list app available for all operating systems.,https://get.todoist.io/2l3dfd4vmxt1-H,"iOS,Android,Windows,Linux,Web App,macOS","Free,Paid Features",
Apple Reminders,Task management apps,"Apple's native task management app to create reminders with subtasks and attachments, and set alerts based on time and location.",https://support.apple.com/en-us/HT205890,"iOS,Web App,macOS",Free,
Google Tasks,Task management apps,"Integrates with Gmail and Google Calendar so you can manage, capture, and edit your tasks from anywhere, at anytime, with to-dos that sync across all your devices.",https://mail.google.com/tasks/canvas,"Android,iOS,Web App",Free,
OmniFocus,Task management apps,A powerful task manager to help you keep track of everything.,https://www.omnigroup.com/omnifocus/,"iOS,Web App,macOS",Free Trial,
Microsoft To Do,Task management apps,A task manager integrated into the Microsoft ecosystem. ,https://todo.microsoft.com/tasks/,"Windows,Android,iOS,Web App",Free,
TickTick,Task management apps,"Manage all your to-dos, from any device, anywhere ",https://www.ticktick.com/,"iOS,macOS,Android,Windows,Linux,Web App,Browser Extension","Free,Paid Features",
Hypothesis,Web clippers,"Select text to annotate, reply to and share any annotation, annotate together in groups, and search your notes. ",https://web.hypothes.is/,Browser Extension,Free,
Otter,Podcast & audio transcription apps,"Real-time, accurate notes that are stored in one central, secure, and searchable place so you and your team can be more engaged, collaborative, and productive.",https://otter.ai/,"iOS,Android,Web App","Free,Paid Features",
Snipd,Podcast & audio transcription apps,Highlight and discover noteworthy podcast moments. Get transcripts & summaries for your highlights and export them to your notetaking app.,https://link.snipd.com/Cx7S/forte,"iOS,Android",Free,
Zapier,Workflow apps,"Automate your work across 4000+ app integrations, so you can focus on what matters.",https://zapier.com/,Web App,"Free,Paid Features",
Readwise,Workflow apps,Get the most out of what you read. Makes it easy to revisit and learn from your ebook & article highlights and export them to your notetaking app.,https://readwise.io/basb/,"iOS,Android,Web App","Free Trial,Paid",checked
IFTTT,Workflow apps,Quickly and easily automate your favorite apps and devices.,https://ifttt.com/,Web App,"Free,Paid Features",
ClickUp,Project management apps,"One app to replace them all - Tasks, Docs, Goals, and Chat.",https://try.web.clickup.com/awve0d0n517m,"iOS,Windows,Android,Web App,Linux,macOS","Free,Paid Features",
Monday,Project management apps,An open platform where anyone can create the tools they need to run every aspect of their work.,https://monday.com/,"iOS,Android,Web App,Windows,macOS","Free,Paid Features",
Asana,Project management apps,"Keep remote and distributed teams, and your entire organization, focused on their goals, projects, and tasks.",https://asana.com/,"iOS,Android,Web App,Windows,macOS","Free,Paid Features",
Trello,Project management apps,"Kanban boards where every part of your task can be managed, tracked, and shared with teammates. ",https://trello.com/en,"iOS,Windows,Android,Web App,macOS","Free,Paid Features",
PDF Expert,PDF readers,"Read, annotate and edit PDFs, change text and images. Fill forms and sign contracts.",https://pdfexpert.com/,"iOS,macOS","Free,Paid Features",checked
Superhuman,Email apps,"Hit inbox zero consistently with the fastest email experience ever created. 
",try.sprh.mn/tiagoforte,"iOS,Windows,Android,macOS",Free Trial,checked
Sanebox,Email apps,"Save 3-4 hours on email with SaneBox's AI that filters emails based on your customization and training preferences, so you can focus on the important messages first. ",https://try.sanebox.com/fortelabs,,Free Trial,
Gmail,Email apps,"Google's popular and free email app.
",https://www.google.com/gmail/about/,"iOS,Android,Web App",Free,
Microsoft Outlook,Email apps,"Microsoft's email app, mainly used by businesses. 
",https://www.microsoft.com/en/microsoft-365/outlook/email-and-calendar-software-microsoft-outlook,"iOS,Android,Web App,Windows,macOS","Free,Paid Features",
Spark,Email apps,"Fast, cross-platform email designed to filter out the noise - so you can focus on what's important.",https://sparkmailapp.com/,"iOS,macOS,Windows","Free,Paid Features",
Busycal,Calendar app,A powerful calendar app for macOS	,https://www.busymac.com/busycal/,"macOS,iOS",Free Trial,checked
Notion Calendar,Calendar app,"The calendar that's fully integrated in your Notion workspace, with built-in scheduling.",https://www.notion.so/product/calendar,"iOS,Windows,macOS,Web App",Free,
Google Calendar,Calendar app,"Google's native calendar app.
",https://calendar.google.com/,"iOS,Web App,Android",Free,
Apple iCloud Calendar,Calendar app,"Apple's native calendar app.
",https://www.icloud.com/calendar,"iOS,macOS,Web App",Free,
